tag, counts
O, 15391
I-movie.name, 1755
B-movie.name, 1402
B-director.name, 237
B-actor.name, 227
I-director.name, 218
I-actor.name, 210
B-rating.name, 200
B-producer.name, 195
B-country.name, 190
B-movie.language, 174
B-movie.subject, 172
B-person.name, 151
I-producer.name, 141
I-person.name, 129
I-movie.release_date, 114
B-movie.genre, 94
B-movie.release_date, 87
I-movie.subject, 75
B-character.name, 49
I-character.name, 48
I-rating.name, 40
I-movie.language, 33
I-movie.gross_revenue, 26
I-country.name, 22
B-movie.location, 17
B-award.ceremony, 10
B-movie.release_region, 9
B-movie.gross_revenue, 8
B-actor.nationality, 5
I-movie.location, 4
I-movie.genre, 4
B-actor.type, 3
I-award.ceremony, 3
B-director.nationality, 2
B-person.nationality, 2
B-movie.description, 2
I-actor.nationality, 1
I-movie.release_region, 1
B-movie.star_rating, 1
B-award.category, 1
