,p,r,f,s
stoploc.airport_code,1.0,0.0,0.0,1
depart_date.month_name,0.9032258064516129,1.0,0.9491525423728813,56
arrive_time.end_time,0.2,0.125,0.15384615384615385,8
depart_date.year,1.0,1.0,1.0,3
toloc.state_name,0.5833333333333334,0.75,0.6562499999999999,28
city_name,0.3,0.05263157894736842,0.08955223880597013,57
arrive_time.start_time,1.0,0.25,0.4,8
flight_stop,0.9545454545454546,1.0,0.9767441860465117,21
fromloc.state_name,0.8333333333333334,0.5882352941176471,0.6896551724137931,17
depart_time.period_mod,0.45454545454545453,1.0,0.625,5
state_code,1.0,0.0,0.0,1
arrive_time.time,0.6666666666666666,0.6470588235294118,0.6567164179104478,34
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
compartment,1.0,0.0,0.0,1
stoploc.city_name,0.0,0.0,0.0,20
depart_date.day_number,0.8709677419354839,0.9818181818181818,0.923076923076923,55
arrive_time.time_relative,0.6470588235294118,0.7096774193548387,0.6769230769230768,31
depart_time.period_of_day,0.9206349206349206,0.8923076923076924,0.90625,130
transport_type,0.9,0.9,0.9,10
fromloc.city_name,0.7391891891891892,0.7769886363636364,0.7576177285318559,704
flight_number,1.0,0.45454545454545453,0.625,11
restriction_code,1.0,0.75,0.8571428571428571,4
flight,1.0,0.0,0.0,1
toloc.airport_name,0.0,0.0,0.0,3
or,0.6,1.0,0.7499999999999999,3
flight_time,1.0,1.0,1.0,1
economy,1.0,1.0,1.0,6
toloc.state_code,0.43902439024390244,1.0,0.6101694915254238,18
period_of_day,1.0,0.0,0.0,4
arrive_date.date_relative,1.0,0.0,0.0,2
toloc.airport_code,1.0,0.0,0.0,4
aircraft_code,1.0,0.48484848484848486,0.653061224489796,33
airline_name,0.9607843137254902,0.9702970297029703,0.9655172413793103,101
days_code,1.0,1.0,1.0,1
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
depart_time.time_relative,0.8524590163934426,0.8,0.8253968253968254,65
depart_date.day_name,0.9419642857142857,0.9952830188679245,0.9678899082568807,212
state_name,1.0,0.0,0.0,9
arrive_date.month_name,1.0,0.0,0.0,6
depart_time.end_time,0.0,0.0,0.0,3
arrive_time.period_of_day,0.0,0.0,0.0,6
meal_description,1.0,0.9,0.9473684210526316,10
mod,1.0,0.0,0.0,2
day_name,1.0,0.0,0.0,2
airport_code,1.0,0.1111111111111111,0.19999999999999998,9
toloc.city_name,0.6746835443037975,0.744413407821229,0.7078353253652058,716
fromloc.airport_name,0.47368421052631576,0.75,0.5806451612903226,12
fromloc.state_code,1.0,0.043478260869565216,0.08333333333333333,23
depart_time.start_time,0.5,0.3333333333333333,0.4,3
booking_class,1.0,0.0,0.0,1
fare_amount,1.0,1.0,1.0,2
connect,1.0,1.0,1.0,6
meal,1.0,1.0,1.0,16
airline_code,0.9655172413793104,0.8235294117647058,0.888888888888889,34
flight_days,1.0,1.0,1.0,10
flight_mod,0.782608695652174,0.75,0.7659574468085107,24
arrive_date.day_name,1.0,0.09090909090909091,0.16666666666666669,11
depart_time.time,0.6410256410256411,0.8771929824561403,0.7407407407407407,57
return_date.day_name,1.0,0.0,0.0,2
depart_date.today_relative,0.9,1.0,0.9473684210526316,9
arrive_date.day_number,1.0,0.0,0.0,6
meal_code,0.0,0.0,0.0,1
class_type,0.9230769230769231,1.0,0.9600000000000001,24
depart_date.date_relative,0.85,1.0,0.9189189189189189,17
toloc.country_name,1.0,1.0,1.0,1
return_date.date_relative,0.5,0.3333333333333333,0.4,3
fromloc.airport_code,0.7142857142857143,1.0,0.8333333333333333,5
airport_name,0.7142857142857143,0.23809523809523808,0.35714285714285715,21
total,0.7701312522170982,0.7652449770884737,0.7676803394625177,2837
