,p,r,f,s
fromloc.airport_code,0.7142857142857143,1.0,0.8333333333333333,5
toloc.state_name,0.5714285714285714,0.7142857142857143,0.634920634920635,28
arrive_time.end_time,0.2,0.125,0.15384615384615385,8
meal_description,1.0,0.9,0.9473684210526316,10
fromloc.state_name,0.8333333333333334,0.5882352941176471,0.6896551724137931,17
aircraft_code,1.0,0.48484848484848486,0.653061224489796,33
arrive_date.day_name,0.5,0.09090909090909091,0.15384615384615385,11
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
depart_date.date_relative,0.8421052631578947,0.9411764705882353,0.8888888888888888,17
flight_stop,0.9545454545454546,1.0,0.9767441860465117,21
depart_time.period_mod,0.45454545454545453,1.0,0.625,5
state_name,0.0,0.0,0.0,9
period_of_day,1.0,0.0,0.0,4
fromloc.city_name,0.738191632928475,0.7769886363636364,0.7570934256055364,704
depart_time.period_of_day,0.9206349206349206,0.8923076923076924,0.90625,130
compartment,1.0,0.0,0.0,1
airline_code,0.9655172413793104,0.8235294117647058,0.888888888888889,34
restriction_code,1.0,0.75,0.8571428571428571,4
arrive_time.period_of_day,0.0,0.0,0.0,6
depart_time.start_time,0.5,0.3333333333333333,0.4,3
toloc.airport_name,0.0,0.0,0.0,3
flight_mod,0.7727272727272727,0.7083333333333334,0.7391304347826088,24
arrive_date.month_name,1.0,0.0,0.0,6
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
days_code,1.0,1.0,1.0,1
airport_code,1.0,0.1111111111111111,0.19999999999999998,9
depart_date.month_name,0.9032258064516129,1.0,0.9491525423728813,56
toloc.state_code,0.43902439024390244,1.0,0.6101694915254238,18
connect,1.0,1.0,1.0,6
return_date.date_relative,0.5,0.3333333333333333,0.4,3
airline_name,0.9607843137254902,0.9702970297029703,0.9655172413793103,101
flight_number,1.0,0.45454545454545453,0.625,11
depart_date.today_relative,1.0,1.0,1.0,9
day_name,1.0,0.0,0.0,2
fromloc.state_code,1.0,0.043478260869565216,0.08333333333333333,23
transport_type,0.9,0.9,0.9,10
flight,1.0,0.0,0.0,1
depart_time.end_time,1.0,0.0,0.0,3
depart_date.day_name,0.9417040358744395,0.9905660377358491,0.9655172413793105,212
depart_date.year,1.0,1.0,1.0,3
airport_name,0.8333333333333334,0.23809523809523808,0.37037037037037035,21
toloc.country_name,1.0,1.0,1.0,1
fare_amount,1.0,1.0,1.0,2
economy,1.0,1.0,1.0,6
class_type,0.96,1.0,0.9795918367346939,24
arrive_date.day_number,1.0,0.0,0.0,6
arrive_time.start_time,1.0,0.25,0.4,8
or,0.6,1.0,0.7499999999999999,3
flight_time,1.0,1.0,1.0,1
toloc.airport_code,1.0,0.0,0.0,4
meal,1.0,0.9375,0.967741935483871,16
stoploc.airport_code,1.0,0.0,0.0,1
depart_time.time,0.6410256410256411,0.8771929824561403,0.7407407407407407,57
city_name,0.2727272727272727,0.05263157894736842,0.08823529411764705,57
state_code,1.0,0.0,0.0,1
fromloc.airport_name,0.47368421052631576,0.75,0.5806451612903226,12
flight_days,1.0,1.0,1.0,10
meal_code,0.0,0.0,0.0,1
stoploc.city_name,0.0,0.0,0.0,20
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
depart_date.day_number,0.8852459016393442,0.9818181818181818,0.9310344827586207,55
toloc.city_name,0.6755725190839694,0.7416201117318436,0.7070572569906791,716
booking_class,1.0,0.0,0.0,1
arrive_time.time_relative,0.6388888888888888,0.7419354838709677,0.6865671641791045,31
arrive_date.date_relative,0.0,0.0,0.0,2
today_relative,0.0,0.0,0.0,0
depart_time.time_relative,0.864406779661017,0.7846153846153846,0.8225806451612904,65
mod,1.0,0.0,0.0,2
return_date.day_name,1.0,0.0,0.0,2
arrive_time.time,0.6764705882352942,0.6764705882352942,0.6764705882352942,34
total,0.7699146514935988,0.7631300669721537,0.766507346432997,2837
