,p,r,f,s
flight_time,1.0,1.0,1.0,1
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
meal_code,0.0,0.0,0.0,1
transport_type,0.9,0.9,0.9,10
depart_time.start_time,1.0,0.0,0.0,3
arrive_date.today_relative,0.0,0.0,0.0,0
flight,1.0,0.0,0.0,1
arrive_time.time_relative,0.5,0.5806451612903226,0.537313432835821,31
depart_time.period_of_day,0.9302325581395349,0.9230769230769231,0.9266409266409267,130
fromloc.state_code,1.0,0.9130434782608695,0.9545454545454545,23
fromloc.state_name,0.8571428571428571,0.7058823529411765,0.7741935483870968,17
depart_date.month_name,0.9,0.9642857142857143,0.9310344827586207,56
meal,1.0,1.0,1.0,16
toloc.state_name,0.6176470588235294,0.75,0.6774193548387097,28
arrive_time.period_of_day,0.0,0.0,0.0,6
depart_time.time,0.5555555555555556,0.7894736842105263,0.6521739130434783,57
state_code,0.3333333333333333,1.0,0.5,1
period_of_day,1.0,0.0,0.0,4
fromloc.airport_name,0.5,0.6666666666666666,0.5714285714285715,12
depart_date.today_relative,0.875,0.7777777777777778,0.823529411764706,9
stoploc.airport_code,1.0,0.0,0.0,1
fromloc.city_name,0.9274965800273598,0.9630681818181818,0.9449477351916376,704
airline_code,0.9310344827586207,0.7941176470588235,0.8571428571428571,34
economy,1.0,1.0,1.0,6
class_type,0.9230769230769231,1.0,0.9600000000000001,24
arrive_time.time,0.5142857142857142,0.5294117647058824,0.5217391304347826,34
arrive_date.day_name,0.25,0.18181818181818182,0.2105263157894737,11
depart_date.date_relative,0.8333333333333334,0.8823529411764706,0.8571428571428571,17
toloc.city_name,0.9178082191780822,0.9357541899441341,0.9266943291839558,716
depart_time.period_mod,0.8333333333333334,1.0,0.9090909090909091,5
restriction_code,1.0,0.75,0.8571428571428571,4
depart_time.end_time,1.0,0.0,0.0,3
state_name,1.0,0.0,0.0,9
flight_days,1.0,1.0,1.0,10
airport_code,0.15625,0.5555555555555556,0.24390243902439024,9
aircraft_code,1.0,0.48484848484848486,0.653061224489796,33
return_date.date_relative,0.5,0.3333333333333333,0.4,3
days_code,1.0,1.0,1.0,1
depart_time.time_relative,0.7666666666666667,0.7076923076923077,0.736,65
fare_amount,1.0,1.0,1.0,2
day_name,1.0,0.0,0.0,2
booking_class,1.0,0.0,0.0,1
fromloc.airport_code,1.0,1.0,1.0,5
meal_description,1.0,0.9,0.9473684210526316,10
depart_date.day_number,0.8813559322033898,0.9454545454545454,0.9122807017543859,55
depart_date.year,1.0,1.0,1.0,3
or,0.6,1.0,0.7499999999999999,3
mod,1.0,0.0,0.0,2
airline_name,0.9514563106796117,0.9702970297029703,0.9607843137254902,101
compartment,1.0,0.0,0.0,1
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
arrive_date.day_number,0.0,0.0,0.0,6
depart_date.day_name,0.9447004608294931,0.9669811320754716,0.9557109557109557,212
toloc.state_code,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
arrive_time.start_time,1.0,0.25,0.4,8
connect,1.0,0.8333333333333334,0.9090909090909091,6
flight_stop,0.9545454545454546,1.0,0.9767441860465117,21
return_date.day_name,1.0,0.0,0.0,2
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
arrive_date.month_name,0.0,0.0,0.0,6
stoploc.city_name,0.2903225806451613,0.45,0.3529411764705882,20
arrive_time.end_time,0.6666666666666666,0.25,0.36363636363636365,8
airport_name,0.5555555555555556,0.23809523809523808,0.33333333333333326,21
flight_mod,0.7619047619047619,0.6666666666666666,0.7111111111111111,24
toloc.airport_code,1.0,0.5,0.6666666666666666,4
toloc.airport_name,0.2,0.3333333333333333,0.25,3
arrive_date.date_relative,0.0,0.0,0.0,2
city_name,0.6521739130434783,0.2631578947368421,0.37500000000000006,57
toloc.country_name,1.0,1.0,1.0,1
flight_number,0.6666666666666666,0.7272727272727273,0.6956521739130435,11
total,0.8695190947666195,0.8667606626718365,0.8681376875551632,2837
