,p,r,f,s
fromloc.state_name,0.8571428571428571,0.7058823529411765,0.7741935483870968,17
arrive_time.period_of_day,0.0,0.0,0.0,6
arrive_date.date_relative,0.0,0.0,0.0,2
return_date.date_relative,0.5,0.3333333333333333,0.4,3
depart_time.period_of_day,0.9302325581395349,0.9230769230769231,0.9266409266409267,130
period_of_day,1.0,0.0,0.0,4
arrive_time.end_time,0.6666666666666666,0.25,0.36363636363636365,8
airport_name,0.5555555555555556,0.23809523809523808,0.33333333333333326,21
flight_time,1.0,1.0,1.0,1
stoploc.airport_code,1.0,0.0,0.0,1
depart_date.date_relative,0.8235294117647058,0.8235294117647058,0.8235294117647058,17
flight_number,0.7777777777777778,0.6363636363636364,0.7000000000000001,11
airline_code,0.9310344827586207,0.7941176470588235,0.8571428571428571,34
meal,1.0,0.9375,0.967741935483871,16
flight,1.0,0.0,0.0,1
aircraft_code,1.0,0.48484848484848486,0.653061224489796,33
flight_days,1.0,1.0,1.0,10
depart_date.day_number,0.8813559322033898,0.9454545454545454,0.9122807017543859,55
fare_amount,1.0,1.0,1.0,2
arrive_time.start_time,1.0,0.25,0.4,8
fromloc.airport_name,0.5,0.75,0.6,12
airline_name,0.9514563106796117,0.9702970297029703,0.9607843137254902,101
class_type,0.96,1.0,0.9795918367346939,24
depart_date.today_relative,0.875,0.7777777777777778,0.823529411764706,9
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
transport_type,0.9,0.9,0.9,10
toloc.state_code,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
compartment,1.0,0.0,0.0,1
flight_mod,0.7727272727272727,0.7083333333333334,0.7391304347826088,24
arrive_date.day_name,0.2857142857142857,0.18181818181818182,0.2222222222222222,11
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
depart_time.start_time,1.0,0.0,0.0,3
toloc.city_name,0.9128065395095368,0.9357541899441341,0.9241379310344828,716
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
fromloc.state_code,1.0,0.9130434782608695,0.9545454545454545,23
fromloc.city_name,0.9288645690834473,0.9644886363636364,0.9463414634146341,704
return_date.day_name,1.0,0.0,0.0,2
or,0.6,1.0,0.7499999999999999,3
state_name,1.0,0.0,0.0,9
economy,1.0,1.0,1.0,6
toloc.airport_code,1.0,0.5,0.6666666666666666,4
booking_class,1.0,0.0,0.0,1
toloc.state_name,0.6176470588235294,0.75,0.6774193548387097,28
depart_time.period_mod,0.8333333333333334,1.0,0.9090909090909091,5
flight_stop,0.9545454545454546,1.0,0.9767441860465117,21
depart_time.end_time,1.0,0.0,0.0,3
depart_time.time_relative,0.7704918032786885,0.7230769230769231,0.746031746031746,65
depart_date.day_name,0.944954128440367,0.9716981132075472,0.958139534883721,212
arrive_date.month_name,0.0,0.0,0.0,6
state_code,0.3333333333333333,1.0,0.5,1
meal_description,1.0,0.9,0.9473684210526316,10
mod,1.0,0.0,0.0,2
restriction_code,1.0,0.75,0.8571428571428571,4
toloc.country_name,1.0,1.0,1.0,1
fromloc.airport_code,1.0,1.0,1.0,5
depart_time.time,0.5679012345679012,0.8070175438596491,0.6666666666666666,57
toloc.airport_name,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
meal_code,0.0,0.0,0.0,1
depart_date.month_name,0.9,0.9642857142857143,0.9310344827586207,56
city_name,0.6363636363636364,0.24561403508771928,0.35443037974683544,57
days_code,1.0,1.0,1.0,1
connect,1.0,0.8333333333333334,0.9090909090909091,6
arrive_date.today_relative,0.0,0.0,0.0,0
depart_date.year,1.0,1.0,1.0,3
day_name,1.0,0.0,0.0,2
arrive_time.time_relative,0.5142857142857142,0.5806451612903226,0.5454545454545455,31
arrive_date.day_number,0.0,0.0,0.0,6
stoploc.city_name,0.3103448275862069,0.45,0.3673469387755102,20
arrive_time.time,0.5294117647058824,0.5294117647058824,0.5294117647058824,34
airport_code,0.15625,0.5555555555555556,0.24390243902439024,9
total,0.8714589235127479,0.8674656327106098,0.8694576929871047,2837
