,p,r,f,s
airline_code,0.9333333333333333,0.8235294117647058,0.8749999999999999,34
days_code,1.0,1.0,1.0,1
arrive_time.end_time,0.6666666666666666,0.25,0.36363636363636365,8
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
fromloc.city_name,0.9365517241379311,0.9644886363636364,0.9503149055283415,704
flight_stop,1.0,1.0,1.0,21
depart_time.start_time,1.0,0.0,0.0,3
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
booking_class,1.0,0.0,0.0,1
fromloc.airport_name,0.375,0.5,0.42857142857142855,12
toloc.country_name,1.0,1.0,1.0,1
stoploc.airport_code,1.0,0.0,0.0,1
depart_date.day_name,0.9414414414414415,0.9858490566037735,0.9631336405529954,212
class_type,0.8846153846153846,0.9583333333333334,0.9199999999999999,24
arrive_date.month_name,0.0,0.0,0.0,6
restriction_code,1.0,0.75,0.8571428571428571,4
fare_amount,1.0,1.0,1.0,2
meal_code,0.0,0.0,0.0,1
arrive_date.day_number,0.0,0.0,0.0,6
depart_time.time_relative,0.7936507936507936,0.7692307692307693,0.7812500000000001,65
city_name,0.5333333333333333,0.2807017543859649,0.367816091954023,57
arrive_time.period_of_day,0.0,0.0,0.0,6
fromloc.state_name,0.9230769230769231,0.7058823529411765,0.8000000000000002,17
fromloc.airport_code,0.8333333333333334,1.0,0.9090909090909091,5
arrive_time.time,0.5,0.5588235294117647,0.5277777777777778,34
depart_date.today_relative,1.0,0.7777777777777778,0.8750000000000001,9
arrive_time.start_time,1.0,0.25,0.4,8
airport_name,0.75,0.14285714285714285,0.24,21
flight_mod,0.7619047619047619,0.6666666666666666,0.7111111111111111,24
mod,1.0,0.0,0.0,2
depart_date.day_number,0.8771929824561403,0.9090909090909091,0.8928571428571428,55
stoploc.city_name,0.36666666666666664,0.55,0.43999999999999995,20
arrive_date.day_name,0.3333333333333333,0.09090909090909091,0.14285714285714288,11
toloc.state_name,0.6388888888888888,0.8214285714285714,0.7187499999999999,28
toloc.city_name,0.9214092140921409,0.9497206703910615,0.9353507565337001,716
day_name,1.0,0.0,0.0,2
flight,1.0,0.0,0.0,1
airline_name,0.9313725490196079,0.9405940594059405,0.935960591133005,101
depart_date.year,1.0,1.0,1.0,3
meal_description,1.0,0.9,0.9473684210526316,10
depart_time.end_time,1.0,0.0,0.0,3
toloc.state_code,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
depart_time.period_of_day,0.9147286821705426,0.9076923076923077,0.9111969111969112,130
connect,1.0,0.5,0.6666666666666666,6
transport_type,0.9,0.9,0.9,10
fromloc.state_code,1.0,0.9130434782608695,0.9545454545454545,23
depart_date.month_name,0.896551724137931,0.9285714285714286,0.912280701754386,56
compartment,1.0,0.0,0.0,1
airport_code,0.8333333333333334,0.5555555555555556,0.6666666666666667,9
return_date.day_name,1.0,0.0,0.0,2
depart_time.time,0.64,0.8421052631578947,0.7272727272727272,57
toloc.airport_code,1.0,0.25,0.4,4
aircraft_code,0.8181818181818182,0.8181818181818182,0.8181818181818182,33
arrive_time.time_relative,0.6206896551724138,0.5806451612903226,0.6000000000000001,31
state_name,1.0,0.0,0.0,9
economy,1.0,1.0,1.0,6
toloc.airport_name,0.0,0.0,0.0,3
round_trip,1.0,0.9452054794520548,0.971830985915493,73
arrive_date.today_relative,0.0,0.0,0.0,0
depart_date.date_relative,0.9230769230769231,0.7058823529411765,0.8000000000000002,17
depart_time.period_mod,1.0,0.4,0.5714285714285715,5
or,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
flight_number,0.7,0.6363636363636364,0.6666666666666666,11
period_of_day,1.0,0.0,0.0,4
return_date.date_relative,0.5,0.3333333333333333,0.4,3
meal,1.0,0.9375,0.967741935483871,16
flight_days,1.0,1.0,1.0,10
flight_time,1.0,1.0,1.0,1
state_code,0.3333333333333333,1.0,0.5,1
arrive_date.date_relative,1.0,0.0,0.0,2
total,0.8839957035445757,0.8702855128657032,0.8770870337477799,2837
