,p,r,f,s
director.name,0.5833333333333334,0.5185185185185185,0.5490196078431373,81
character.name,0.6363636363636364,0.4666666666666667,0.5384615384615385,15
producer.name,0.7833333333333333,0.6438356164383562,0.7067669172932332,73
movie.release_region,0.0,0.0,0.0,4
actor.name,0.7619047619047619,0.8,0.7804878048780488,80
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
rating.name,0.9833333333333333,0.9672131147540983,0.9752066115702478,61
movie.type,1.0,0.0,0.0,4
actor.nationality,1.0,1.0,1.0,1
movie.subject,0.7209302325581395,0.7045454545454546,0.7126436781609196,44
movie.location,0.6666666666666666,0.2857142857142857,0.4,7
country.name,0.6428571428571429,0.7258064516129032,0.6818181818181818,62
movie.release_date,0.7333333333333333,0.7586206896551724,0.7457627118644068,29
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
movie.star_rating,1.0,0.0,0.0,1
movie.genre,0.90625,0.8055555555555556,0.8529411764705882,36
director.nationality,1.0,0.0,0.0,1
movie.name,0.8657718120805369,0.8181818181818182,0.841304347826087,473
person.name,0.4722222222222222,0.5,0.4857142857142857,34
actor.type,1.0,1.0,1.0,2
award.category,1.0,0.0,0.0,2
movie.language,0.7796610169491526,0.6666666666666666,0.71875,69
total,0.7869649805447471,0.7415215398716773,0.7635677206229353,1091
