,p,r,f,s
actor.nationality,1.0,1.0,1.0,1
person.name,0.5128205128205128,0.5882352941176471,0.547945205479452,34
movie.subject,0.775,0.7045454545454546,0.7380952380952381,44
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
director.name,0.5970149253731343,0.49382716049382713,0.5405405405405405,81
movie.location,0.0,0.0,0.0,7
country.name,0.5857142857142857,0.6612903225806451,0.6212121212121212,62
movie.type,1.0,0.0,0.0,4
movie.star_rating,1.0,0.0,0.0,1
producer.name,0.7627118644067796,0.6164383561643836,0.6818181818181819,73
movie.release_date,0.7407407407407407,0.6896551724137931,0.7142857142857143,29
actor.type,1.0,1.0,1.0,2
character.name,0.45454545454545453,0.3333333333333333,0.3846153846153846,15
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
rating.name,0.9508196721311475,0.9508196721311475,0.9508196721311475,61
movie.language,0.7924528301886793,0.6086956521739131,0.6885245901639344,69
award.category,1.0,0.0,0.0,2
movie.genre,0.9642857142857143,0.75,0.8437499999999999,36
actor.name,0.7468354430379747,0.7375,0.7421383647798743,80
movie.release_region,1.0,0.0,0.0,4
director.nationality,1.0,0.0,0.0,1
movie.name,0.8114406779661016,0.8097251585623678,0.8105820105820105,473
total,0.7599611273080661,0.7167736021998167,0.7377358490566037,1091
