,p,r,f,s
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
movie.star_rating,1.0,0.0,0.0,1
movie.location,0.0,0.0,0.0,7
actor.nationality,1.0,1.0,1.0,1
person.nationality,0.0,0.0,0.0,0
award.category,1.0,0.0,0.0,2
movie.name,0.7571428571428571,0.7843551797040169,0.7705088265835929,473
movie.language,0.7049180327868853,0.6231884057971014,0.6615384615384615,69
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.subject,0.41379310344827586,0.5454545454545454,0.47058823529411764,44
character.name,0.5454545454545454,0.4,0.4615384615384615,15
movie.release_region,0.0,0.0,0.0,4
actor.name,0.5149253731343284,0.8625,0.6448598130841122,80
director.name,0.609375,0.48148148148148145,0.5379310344827586,81
producer.name,0.7457627118644068,0.6027397260273972,0.6666666666666666,73
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
actor.type,1.0,1.0,1.0,2
person.name,0.3448275862068966,0.29411764705882354,0.31746031746031744,34
movie.type,1.0,0.0,0.0,4
country.name,0.5818181818181818,0.5161290322580645,0.5470085470085471,62
director.nationality,1.0,0.0,0.0,1
rating.name,0.9354838709677419,0.9508196721311475,0.943089430894309,61
movie.release_date,0.59375,0.6551724137931034,0.6229508196721311,29
total,0.6750448833034112,0.689275893675527,0.6820861678004535,1091
