,p,r,f,s
movie.genre,0.9285714285714286,0.7222222222222222,0.8125000000000001,36
movie.star_rating,1.0,0.0,0.0,1
award.category,1.0,0.0,0.0,2
movie.description,0.0,0.0,0.0,0
movie.release_date,0.6551724137931034,0.6551724137931034,0.6551724137931034,29
producer.name,0.7758620689655172,0.6164383561643836,0.6870229007633589,73
movie.name,0.7582846003898636,0.8224101479915433,0.7890466531440162,473
director.nationality,1.0,0.0,0.0,1
director.name,0.5873015873015873,0.4567901234567901,0.5138888888888888,81
person.name,0.45652173913043476,0.6176470588235294,0.5249999999999999,34
actor.type,1.0,1.0,1.0,2
movie.location,0.0,0.0,0.0,7
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
character.name,0.3333333333333333,0.4,0.3636363636363636,15
movie.subject,0.7209302325581395,0.7045454545454546,0.7126436781609196,44
actor.nationality,1.0,1.0,1.0,1
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
movie.type,1.0,0.0,0.0,4
person.nationality,0.0,0.0,0.0,0
rating.name,0.9047619047619048,0.9344262295081968,0.9193548387096775,61
movie.language,0.7857142857142857,0.6376811594202898,0.7039999999999998,69
country.name,0.6029411764705882,0.6612903225806451,0.6307692307692307,62
actor.name,0.6808510638297872,0.8,0.7356321839080461,80
movie.release_region,1.0,0.0,0.0,4
total,0.7171350861287398,0.7250229147571036,0.7210574293527803,1091
