,p,r,f,s
actor.name,0.6770833333333334,0.8125,0.7386363636363636,80
actor.nationality,1.0,1.0,1.0,1
movie.release_region,0.0,0.0,0.0,4
character.name,0.35294117647058826,0.4,0.37500000000000006,15
movie.star_rating,1.0,0.0,0.0,1
movie.subject,0.6904761904761905,0.6590909090909091,0.6744186046511628,44
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
country.name,0.6,0.6774193548387096,0.6363636363636364,62
director.name,0.5806451612903226,0.4444444444444444,0.5034965034965034,81
movie.location,0.0,0.0,0.0,7
movie.gross_revenue,0.2857142857142857,0.4,0.3333333333333333,5
rating.name,0.9032258064516129,0.9180327868852459,0.9105691056910569,61
movie.name,0.7592954990215264,0.8202959830866807,0.7886178861788617,473
movie.genre,0.9655172413793104,0.7777777777777778,0.8615384615384615,36
movie.language,0.8113207547169812,0.6231884057971014,0.7049180327868851,69
movie.type,1.0,0.0,0.0,4
person.name,0.5,0.6470588235294118,0.5641025641025642,34
movie.release_date,0.6206896551724138,0.6206896551724138,0.6206896551724138,29
director.nationality,1.0,0.0,0.0,1
actor.type,1.0,1.0,1.0,2
producer.name,0.7627118644067796,0.6164383561643836,0.6818181818181819,73
award.category,1.0,0.0,0.0,2
total,0.720292504570384,0.7222731439046746,0.7212814645308925,1091
