,p,r,f,s
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
movie.name,0.7553398058252427,0.8224101479915433,0.7874493927125505,473
movie.release_region,0.0,0.0,0.0,4
director.nationality,1.0,0.0,0.0,1
movie.type,1.0,0.0,0.0,4
movie.star_rating,1.0,0.0,0.0,1
actor.type,1.0,1.0,1.0,2
movie.language,0.7857142857142857,0.6376811594202898,0.7039999999999998,69
director.name,0.5806451612903226,0.4444444444444444,0.5034965034965034,81
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
producer.name,0.7627118644067796,0.6164383561643836,0.6818181818181819,73
character.name,0.4,0.4,0.4000000000000001,15
person.name,0.5,0.6176470588235294,0.5526315789473685,34
rating.name,0.9180327868852459,0.9180327868852459,0.9180327868852459,61
movie.genre,0.9655172413793104,0.7777777777777778,0.8615384615384615,36
movie.subject,0.7142857142857143,0.6818181818181818,0.6976744186046512,44
actor.name,0.673469387755102,0.825,0.7415730337078652,80
award.category,1.0,0.0,0.0,2
movie.release_date,0.6785714285714286,0.6551724137931034,0.6666666666666666,29
country.name,0.6119402985074627,0.6612903225806451,0.6356589147286821,62
movie.location,0.0,0.0,0.0,7
actor.nationality,1.0,1.0,1.0,1
total,0.7213114754098361,0.7259395050412466,0.7236180904522614,1091
