,p,r,f,s
movie.release_date,0.2619047619047619,0.3793103448275862,0.30985915492957744,29
movie.genre,0.9310344827586207,0.75,0.8307692307692308,36
award.category,1.0,0.0,0.0,2
rating.name,0.828125,0.8688524590163934,0.8480000000000001,61
actor.nationality,1.0,0.0,0.0,1
character.name,0.625,0.3333333333333333,0.43478260869565216,15
movie.star_rating,1.0,0.0,0.0,1
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
movie.gross_revenue,0.0,0.0,0.0,5
movie.name,0.4805914972273567,0.5496828752642706,0.5128205128205129,473
actor.type,1.0,1.0,1.0,2
movie.language,0.78125,0.7246376811594203,0.7518796992481203,69
movie.release_region,1.0,0.0,0.0,4
movie.subject,0.6410256410256411,0.5681818181818182,0.6024096385542169,44
producer.name,0.6779661016949152,0.547945205479452,0.6060606060606061,73
director.name,0.5434782608695652,0.6172839506172839,0.5780346820809249,81
person.name,0.3,0.2647058823529412,0.28125,34
country.name,0.6333333333333333,0.6129032258064516,0.6229508196721313,62
director.nationality,1.0,0.0,0.0,1
actor.name,0.5747126436781609,0.625,0.5988023952095808,80
movie.location,0.0,0.0,0.0,7
movie.type,1.0,0.0,0.0,4
total,0.5492091388400703,0.5728689275893676,0.5607895917451772,1091
