,p,r,f,s
movie.type,1.0,0.0,0.0,4
country.name,0.6119402985074627,0.6612903225806451,0.6356589147286821,62
movie.release_region,1.0,0.0,0.0,4
director.nationality,1.0,0.0,0.0,1
award.category,1.0,0.0,0.0,2
movie.location,0.0,0.0,0.0,7
movie.name,0.7456310679611651,0.8118393234672304,0.7773279352226722,473
character.name,0.46153846153846156,0.4,0.42857142857142855,15
person.name,0.475,0.5588235294117647,0.5135135135135136,34
producer.name,0.7796610169491526,0.6301369863013698,0.6969696969696969,73
movie.release_date,0.7307692307692307,0.6551724137931034,0.6909090909090909,29
director.name,0.5797101449275363,0.49382716049382713,0.5333333333333333,81
movie.language,0.7894736842105263,0.6521739130434783,0.7142857142857143,69
actor.nationality,1.0,1.0,1.0,1
movie.star_rating,1.0,0.0,0.0,1
movie.subject,0.6666666666666666,0.6363636363636364,0.6511627906976744,44
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
movie.genre,0.8928571428571429,0.6944444444444444,0.78125,36
actor.name,0.6813186813186813,0.775,0.7251461988304093,80
actor.type,1.0,1.0,1.0,2
rating.name,0.9354838709677419,0.9508196721311475,0.943089430894309,61
total,0.7186067827681026,0.7186067827681026,0.7186067827681027,1091
