,p,r,f,s
movie.release_region,1.0,0.0,0.0,4
award.ceremony,0.5714285714285714,0.5714285714285714,0.5714285714285714,7
character.name,0.7142857142857143,0.3333333333333333,0.4545454545454545,15
rating.name,0.9516129032258065,0.9672131147540983,0.959349593495935,61
movie.star_rating,1.0,0.0,0.0,1
producer.name,0.17279411764705882,0.6438356164383562,0.27246376811594203,73
actor.nationality,1.0,1.0,1.0,1
movie.genre,0.9230769230769231,0.6666666666666666,0.7741935483870968,36
actor.name,0.803921568627451,0.5125,0.6259541984732824,80
movie.name,0.8171296296296297,0.7463002114164905,0.7801104972375691,473
actor.type,1.0,1.0,1.0,2
movie.gross_revenue,0.5555555555555556,1.0,0.7142857142857143,5
director.name,0.3836477987421384,0.7530864197530864,0.5083333333333334,81
movie.type,1.0,0.0,0.0,4
director.nationality,0.0,0.0,0.0,1
movie.release_date,0.7307692307692307,0.6551724137931034,0.6909090909090909,29
person.name,0.5238095238095238,0.3235294117647059,0.39999999999999997,34
movie.location,0.0,0.0,0.0,7
movie.subject,0.6578947368421053,0.5681818181818182,0.6097560975609756,44
country.name,0.6129032258064516,0.6129032258064516,0.6129032258064516,62
movie.language,0.7627118644067796,0.6521739130434783,0.703125,69
award.category,1.0,0.0,0.0,2
total,0.5977382875605816,0.6782768102658112,0.635465865178188,1091
