,p,r,f,s
rating.name,0.9333333333333333,0.9180327868852459,0.9256198347107439,61
movie.language,0.8035714285714286,0.6521739130434783,0.7200000000000001,69
movie.release_region,1.0,0.0,0.0,4
award.category,1.0,0.0,0.0,2
actor.name,0.6923076923076923,0.7875,0.7368421052631579,80
movie.gross_revenue,0.25,0.4,0.3076923076923077,5
movie.type,1.0,0.0,0.0,4
producer.name,0.7666666666666667,0.6301369863013698,0.6917293233082706,73
actor.nationality,1.0,1.0,1.0,1
movie.location,0.0,0.0,0.0,7
character.name,0.5,0.4,0.4444444444444445,15
movie.genre,0.9642857142857143,0.75,0.8437499999999999,36
country.name,0.6176470588235294,0.6774193548387096,0.6461538461538462,62
movie.subject,0.6666666666666666,0.6363636363636364,0.6511627906976744,44
person.name,0.48717948717948717,0.5588235294117647,0.5205479452054794,34
movie.star_rating,1.0,0.0,0.0,1
director.nationality,1.0,0.0,0.0,1
actor.type,1.0,1.0,1.0,2
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
movie.release_date,0.6551724137931034,0.6551724137931034,0.6551724137931034,29
movie.name,0.7461240310077519,0.813953488372093,0.7785642062689585,473
director.name,0.5797101449275363,0.49382716049382713,0.5333333333333333,81
total,0.7211009174311926,0.7204399633363886,0.7207702888583218,1091
