,p,r,f,s
movie.star_rating,1.0,0.0,0.0,1
actor.name,0.6736842105263158,0.8,0.7314285714285713,80
director.nationality,1.0,0.0,0.0,1
movie.language,0.8,0.6376811594202898,0.7096774193548386,69
movie.name,0.754863813229572,0.8202959830866807,0.7862208713272543,473
movie.release_region,1.0,0.0,0.0,4
movie.release_date,0.7307692307692307,0.6551724137931034,0.6909090909090909,29
movie.subject,0.7209302325581395,0.7045454545454546,0.7126436781609196,44
character.name,0.42857142857142855,0.4,0.4137931034482759,15
rating.name,0.9180327868852459,0.9180327868852459,0.9180327868852459,61
person.name,0.4772727272727273,0.6176470588235294,0.5384615384615384,34
movie.type,1.0,0.0,0.0,4
actor.type,1.0,1.0,1.0,2
actor.nationality,1.0,1.0,1.0,1
director.name,0.578125,0.4567901234567901,0.5103448275862069,81
country.name,0.6086956521739131,0.6774193548387096,0.6412213740458016,62
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
movie.genre,0.9285714285714286,0.7222222222222222,0.8125000000000001,36
movie.location,0.0,0.0,0.0,7
producer.name,0.7758620689655172,0.6164383561643836,0.6870229007633589,73
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
award.category,1.0,0.0,0.0,2
total,0.7227813357731016,0.7241063244729606,0.7234432234432235,1091
