,p,r,f,s
actor.nationality,1.0,1.0,1.0,1
person.name,0.5,0.6470588235294118,0.5641025641025642,34
movie.star_rating,1.0,0.0,0.0,1
movie.genre,1.0,0.8055555555555556,0.8923076923076924,36
country.name,0.6176470588235294,0.6774193548387096,0.6461538461538462,62
character.name,0.42857142857142855,0.4,0.4137931034482759,15
director.nationality,1.0,0.0,0.0,1
award.category,1.0,0.0,0.0,2
director.name,0.5942028985507246,0.5061728395061729,0.5466666666666666,81
rating.name,0.9032258064516129,0.9180327868852459,0.9105691056910569,61
movie.location,0.0,0.0,0.0,7
movie.subject,0.7142857142857143,0.6818181818181818,0.6976744186046512,44
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
actor.type,1.0,1.0,1.0,2
producer.name,0.7627118644067796,0.6164383561643836,0.6818181818181819,73
movie.type,1.0,0.0,0.0,4
actor.name,0.735632183908046,0.8,0.7664670658682634,80
movie.release_date,0.7037037037037037,0.6551724137931034,0.6785714285714286,29
movie.name,0.7603143418467584,0.8181818181818182,0.7881873727087577,473
movie.release_region,0.0,0.0,0.0,4
movie.language,0.7894736842105263,0.6521739130434783,0.7142857142857143,69
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
total,0.7298534798534798,0.7305224564619615,0.7301878149335778,1091
