,p,r,f,s
movie.release_region,1.0,0.0,0.0,4
actor.name,0.5764705882352941,0.6125,0.593939393939394,80
rating.name,0.8412698412698413,0.8688524590163934,0.8548387096774194,61
director.nationality,1.0,0.0,0.0,1
country.name,0.6333333333333333,0.6129032258064516,0.6229508196721313,62
director.name,0.5494505494505495,0.6172839506172839,0.5813953488372093,81
character.name,1.0,0.3333333333333333,0.5,15
actor.type,1.0,1.0,1.0,2
movie.star_rating,1.0,0.0,0.0,1
movie.subject,0.6410256410256411,0.5681818181818182,0.6024096385542169,44
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
producer.name,0.6271186440677966,0.5068493150684932,0.5606060606060607,73
movie.release_date,0.25,0.3448275862068966,0.2898550724637681,29
award.category,1.0,0.0,0.0,2
movie.location,0.0,0.0,0.0,7
movie.type,1.0,0.0,0.0,4
movie.gross_revenue,0.0,0.0,0.0,5
actor.nationality,1.0,0.0,0.0,1
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
person.name,0.3103448275862069,0.2647058823529412,0.28571428571428575,34
movie.language,0.7777777777777778,0.7101449275362319,0.7424242424242424,69
movie.name,0.4878048780487805,0.5496828752642706,0.5168986083499006,473
total,0.553763440860215,0.5664527956003667,0.5600362483008609,1091
