,p,r,f,s
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
actor.nationality,1.0,1.0,1.0,1
movie.name,0.7893617021276595,0.7843551797040169,0.7868504772004242,473
movie.star_rating,1.0,0.0,0.0,1
movie.release_date,0.3333333333333333,0.4827586206896552,0.39436619718309857,29
person.name,0.6,0.6176470588235294,0.608695652173913,34
rating.name,0.8656716417910447,0.9508196721311475,0.9062499999999999,61
movie.release_region,1.0,0.0,0.0,4
actor.type,1.0,1.0,1.0,2
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
director.name,0.6285714285714286,0.5432098765432098,0.5827814569536424,81
country.name,0.6056338028169014,0.6935483870967742,0.6466165413533835,62
character.name,0.5,0.26666666666666666,0.3478260869565218,15
actor.name,0.75,0.6375,0.6891891891891891,80
award.category,1.0,0.0,0.0,2
movie.language,0.7166666666666667,0.6231884057971014,0.6666666666666667,69
director.nationality,1.0,0.0,0.0,1
movie.type,1.0,0.0,0.0,4
movie.subject,0.7428571428571429,0.5909090909090909,0.6582278481012659,44
producer.name,0.6818181818181818,0.6164383561643836,0.6474820143884891,73
movie.location,0.0,0.0,0.0,7
movie.gross_revenue,0.0,0.0,0.0,5
total,0.725,0.6911090742438131,0.7076489910839981,1091
