,p,r,f,s
actor.name,0.6891891891891891,0.6375,0.6623376623376622,80
director.name,0.7142857142857143,0.6172839506172839,0.662251655629139,81
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.subject,0.7878787878787878,0.5909090909090909,0.6753246753246752,44
actor.type,1.0,1.0,1.0,2
movie.location,0.0,0.0,0.0,7
rating.name,0.9508196721311475,0.9508196721311475,0.9508196721311475,61
actor.nationality,1.0,1.0,1.0,1
producer.name,0.7230769230769231,0.6438356164383562,0.6811594202898551,73
director.nationality,1.0,0.0,0.0,1
movie.name,0.8244444444444444,0.7843551797040169,0.8039003250270857,473
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
movie.gross_revenue,0.125,0.2,0.15384615384615385,5
country.name,0.589041095890411,0.6935483870967742,0.6370370370370372,62
movie.star_rating,1.0,0.0,0.0,1
award.category,1.0,0.0,0.0,2
character.name,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
person.name,0.5757575757575758,0.5588235294117647,0.5671641791044776,34
movie.type,1.0,0.0,0.0,4
movie.language,0.7090909090909091,0.5652173913043478,0.6290322580645161,69
movie.release_date,0.4,0.4827586206896552,0.43750000000000006,29
movie.release_region,1.0,0.0,0.0,4
total,0.7532338308457711,0.693858845096242,0.7223282442748091,1091
