,p,r,f,s
movie.location,0.3333333333333333,0.14285714285714285,0.2,7
director.name,0.684931506849315,0.6172839506172839,0.6493506493506493,81
actor.type,1.0,1.0,1.0,2
producer.name,0.734375,0.6438356164383562,0.6861313868613139,73
country.name,0.6428571428571429,0.7258064516129032,0.6818181818181818,62
movie.release_region,1.0,0.0,0.0,4
movie.language,0.7368421052631579,0.6086956521739131,0.6666666666666666,69
award.category,1.0,0.0,0.0,2
person.name,0.5714285714285714,0.5882352941176471,0.5797101449275363,34
movie.subject,0.7647058823529411,0.5909090909090909,0.6666666666666667,44
movie.star_rating,1.0,0.0,0.0,1
movie.release_date,0.3888888888888889,0.4827586206896552,0.43076923076923074,29
character.name,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
rating.name,0.9508196721311475,0.9508196721311475,0.9508196721311475,61
actor.name,0.7246376811594203,0.625,0.6711409395973154,80
actor.nationality,1.0,1.0,1.0,1
movie.name,0.811816192560175,0.7843551797040169,0.7978494623655914,473
director.nationality,1.0,0.0,0.0,1
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.gross_revenue,0.0,0.0,0.0,5
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
movie.type,1.0,0.0,0.0,4
total,0.7544554455445545,0.6984417965169569,0.7253688719657306,1091
