,p,r,f,s
person.name,0.5757575757575758,0.5588235294117647,0.5671641791044776,34
movie.type,1.0,0.0,0.0,4
actor.nationality,1.0,1.0,1.0,1
movie.location,0.0,0.0,0.0,7
movie.release_date,0.4117647058823529,0.4827586206896552,0.4444444444444445,29
award.category,1.0,0.0,0.0,2
movie.star_rating,1.0,0.0,0.0,1
movie.gross_revenue,0.0,0.0,0.0,5
movie.language,0.7222222222222222,0.5652173913043478,0.6341463414634146,69
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.release_region,1.0,0.0,0.0,4
movie.subject,0.7647058823529411,0.5909090909090909,0.6666666666666667,44
movie.name,0.8266666666666667,0.7864693446088795,0.8060671722643553,473
director.nationality,1.0,0.0,0.0,1
director.name,0.6805555555555556,0.6049382716049383,0.6405228758169934,81
rating.name,0.9354838709677419,0.9508196721311475,0.943089430894309,61
character.name,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
country.name,0.6027397260273972,0.7096774193548387,0.6518518518518519,62
actor.name,0.7323943661971831,0.65,0.6887417218543047,80
producer.name,0.746031746031746,0.6438356164383562,0.6911764705882354,73
actor.type,1.0,1.0,1.0,2
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
total,0.7572427572427572,0.694775435380385,0.7246653919694074,1091
