,p,r,f,s
movie.location,0.0,0.0,0.0,7
movie.subject,0.7647058823529411,0.5909090909090909,0.6666666666666667,44
award.category,1.0,0.0,0.0,2
movie.gross_revenue,0.125,0.2,0.15384615384615385,5
person.name,0.625,0.4411764705882353,0.5172413793103449,34
actor.nationality,1.0,1.0,1.0,1
producer.name,0.7377049180327869,0.6164383561643836,0.6716417910447762,73
rating.name,0.9206349206349206,0.9508196721311475,0.9354838709677418,61
actor.name,0.7432432432432432,0.6875,0.7142857142857143,80
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
actor.type,1.0,1.0,1.0,2
movie.type,1.0,0.0,0.0,4
country.name,0.625,0.7258064516129032,0.6716417910447761,62
director.name,0.6375,0.6296296296296297,0.6335403726708074,81
award.ceremony,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
director.nationality,1.0,0.0,0.0,1
movie.language,0.7454545454545455,0.5942028985507246,0.661290322580645,69
character.name,0.5714285714285714,0.26666666666666666,0.36363636363636365,15
movie.release_region,1.0,0.0,0.0,4
movie.name,0.8104575163398693,0.7864693446088795,0.7982832618025751,473
movie.release_date,0.4,0.4827586206896552,0.43750000000000006,29
movie.star_rating,1.0,0.0,0.0,1
total,0.7512339585389931,0.6975252062328139,0.723384030418251,1091
