,p,r,f,s
all,1.0,0.0,0.0,0
rate,1.0,0.0,0.0,0
three,1.0,0.0,0.0,0
page,1.0,0.0,0.0,0
popular,1.0,0.0,0.0,0
coming,1.0,0.0,0.0,0
played,1.0,0.0,0.0,0
much,1.0,0.0,0.0,0
recent,1.0,0.0,0.0,0
involving,1.0,0.0,0.0,0
tonight,1.0,0.0,0.0,0
shortcut,1.0,0.0,0.0,0
do,1.0,0.0,0.0,0
what,1.0,0.0,0.0,0
offfice,1.0,0.0,0.0,0
movie.star_rating,1.0,0.0,0.0,1
speaking,1.0,0.0,0.0,0
time,1.0,0.0,0.0,0
else,1.0,0.0,0.0,0
ho,1.0,0.0,0.0,0
reviewers,1.0,0.0,0.0,0
history,1.0,0.0,0.0,0
can,1.0,0.0,0.0,0
details,1.0,0.0,0.0,0
determines,1.0,0.0,0.0,0
earth,1.0,0.0,0.0,0
week,1.0,0.0,0.0,0
ten,1.0,0.0,0.0,0
win,1.0,0.0,0.0,0
movies,1.0,0.0,0.0,0
current,1.0,0.0,0.0,0
voice,1.0,0.0,0.0,0
mean,1.0,0.0,0.0,0
take,1.0,0.0,0.0,0
up,1.0,0.0,0.0,0
point,1.0,0.0,0.0,0
highest,1.0,0.0,0.0,0
art,1.0,0.0,0.0,0
dred,1.0,0.0,0.0,0
cover,1.0,0.0,0.0,0
use,1.0,0.0,0.0,0
think,1.0,0.0,0.0,0
by,1.0,0.0,0.0,0
famous,1.0,0.0,0.0,0
viewer,1.0,0.0,0.0,0
female,1.0,0.0,0.0,0
directors,1.0,0.0,0.0,0
person.name,0.28125,0.2647058823529412,0.27272727272727276,34
theaters,1.0,0.0,0.0,0
film,1.0,0.0,0.0,0
let,1.0,0.0,0.0,0
continue,1.0,0.0,0.0,0
for,1.0,0.0,0.0,0
done,1.0,0.0,0.0,0
include,1.0,0.0,0.0,0
eighth,1.0,0.0,0.0,0
last,1.0,0.0,0.0,0
look,1.0,0.0,0.0,0
sales,1.0,0.0,0.0,0
cars,1.0,0.0,0.0,0
provide,1.0,0.0,0.0,0
less,1.0,0.0,0.0,0
released,1.0,0.0,0.0,0
writers,1.0,0.0,0.0,0
review,1.0,0.0,0.0,0
